RANK,TOTAL,SFW_INDIVIDUAL,SFW_GROUP,NSFW_INDIVIDUAL,NSFW_GROUP,NSFW_PERCENT,CHARACTER,SERIE
140,17,1,0,11,5,94.1,dawn,pokemon
141,17,0,0,17,0,100.0,perona,one-piece
142,17,0,0,17,0,100.0,elinalise,mushoku
143,17,0,0,17,0,100.0,sword-maiden,goblin-slayer
144,17,0,0,17,0,100.0,yakumo,chained-soldier
145,17,0,0,12,5,100.0,chichi,dragon-ball
146,16,4,0,12,0,75.0,winry,fma
147,16,3,0,11,2,81.2,methode,frieren
148,16,3,0,10,3,81.2,mt-lady,mha
149,16,2,0,14,0,87.5,ikaros,sora-no-otoshimono
150,16,15,0,1,0,6.2,violet,violet-evergarden
151,16,1,0,15,0,93.8,vermeil,vermeil-in-gold
152,16,1,0,15,0,93.8,luminous-valentine,tensura
153,16,1,0,15,0,93.8,pop-step,mha
154,16,1,0,14,1,93.8,misty,pokemon
155,16,1,0,13,2,93.8,uta,one-piece
156,16,1,0,12,3,93.8,misato,evangelion
157,16,1,5,10,0,62.5,faye,bebop
158,16,0,0,16,0,100.0,dark-magician-girl,yu-gi-oh
159,16,0,0,16,0,100.0,sana-sunomiya,nagatoro
160,16,0,0,16,0,100.0,marikawa,high-school-of-the-dead
161,16,0,0,14,2,100.0,rosalina,nintendo
162,15,9,6,0,0,0.0,deku,mha
163,15,3,0,12,0,80.0,alina-clover,guild-receptionist
164,15,2,0,12,1,86.7,a2,nier
165,15,12,3,0,0,0.0,eren,aot
166,15,1,0,13,1,93.3,reiju,one-piece
167,15,0,0,15,0,100.0,chabashira,cote
168,15,0,0,14,1,100.0,carmine,pokemon
169,15,0,0,13,2,100.0,shuuko-komi,komi-san
170,14,7,7,0,0,0.0,yato,noragami
171,14,4,0,7,3,71.4,tracer,overwatch
172,14,3,0,9,2,78.6,dva,overwatch
173,14,3,0,8,3,78.6,jiro,mha
174,14,3,0,10,1,78.6,kendo,mha
175,14,2,0,11,1,85.7,nero,black-clover
176,14,1,0,10,3,92.9,mizukage,naruto
177,14,10,3,0,1,7.1,onodera,nisekoi
178,14,0,0,14,0,100.0,nico,witch-watch
179,14,0,0,14,0,100.0,sae-niijima,persona-5
180,14,0,0,14,0,100.0,black-cat,marvel
181,14,0,0,14,0,100.0,rei-miyamoto,high-school-of-the-dead
182,14,0,2,10,2,85.7,milim,tensura
183,13,9,2,0,2,15.4,rimuru,tensura
184,13,8,5,0,0,0.0,edward,fma
185,13,8,5,0,0,0.0,asta,black-clover
186,13,5,8,0,0,0.0,souma,shokugeki-no-souma
187,13,1,0,11,1,92.3,vanessa,black-clover
188,13,0,0,8,5,100.0,kurenai,naruto
189,13,0,0,13,0,100.0,takagi,high-school-of-the-dead
190,13,0,0,13,0,100.0,marika,from
191,13,0,0,13,0,100.0,lune,expedition-33
192,13,0,0,13,0,100.0,ren,chained-soldier
193,13,0,0,11,2,100.0,konan,naruto
194,12,4,0,8,0,66.7,bocchi,bocchi
195,12,4,2,6,0,50.0,miyuki,the-irregular-at-magic-high-school
196,12,2,2,8,0,66.7,katara,avatar
197,12,1,0,8,3,91.7,may,pokemon
198,12,1,0,11,0,91.7,ryu,danmachi
199,12,0,0,7,5,100.0,power,chainsaw-man
200,11,9,2,0,0,0.0,todoroki,mha
201,11,9,2,0,0,0.0,all-might,mha
202,11,5,0,6,0,54.5,leone,akame-ga-kill
203,11,5,3,3,0,27.3,megumi,shokugeki-no-souma
204,11,5,4,1,1,18.2,shiro,no-game-no-life
205,11,2,0,7,2,81.8,shuna,tensura
206,11,2,8,1,0,9.1,hori,horimiya
207,11,1,0,10,0,90.9,hinata-sakaguchi,tensura
208,11,0,0,5,6,100.0,aira,dandadan
209,11,0,0,11,0,100.0,kim,kim-possible
210,11,0,0,10,1,100.0,stussy,one-piece
211,10,9,1,0,0,0.0,luffy,one-piece
212,10,7,1,2,0,20.0,satou,interview-with-monster-girls
213,10,5,5,0,0,0.0,hyori,noragami
214,10,4,6,0,0,0.0,mafuyu,blend-s
215,10,2,8,0,0,0.0,miyamura,horimiya
216,10,1,0,9,0,90.0,maelle,expedition-33
217,10,1,3,4,2,60.0,yui,oregairu
218,10,0,0,9,1,100.0,samui,naruto
219,10,0,0,9,1,100.0,asa,chainsaw-man
220,10,0,1,8,1,90.0,akane-hououji,megami-no-cafe-terrace
221,10,0,0,4,6,100.0,invisigal,dispatch
222,10,0,0,4,6,100.0,blonde-blazer,dispatch
223,10,0,0,10,0,100.0,subaru,fragrant-flower
224,10,0,0,10,0,100.0,seira,dress-up-darling
225,10,0,0,10,0,100.0,elsa,disney
226,9,8,1,0,0,0.0,levi,aot
227,9,7,2,0,0,0.0,zuko,avatar
228,9,6,2,0,1,11.1,sistine,akashic-record-of-bastard-magical
229,9,5,3,1,0,11.1,tachibana,nisekoi
230,9,4,0,5,0,55.6,saegusa,the-irregular-at-magic-high-school
231,9,4,0,5,0,55.6,furuhashi,bokuben
232,9,4,2,3,0,33.3,rory,gate
233,9,3,0,6,0,66.7,eris-greyrat,mushoku
234,9,3,2,4,0,44.4,futaba,bunny-girl-senpai
235,9,2,0,7,0,77.8,shirahoshi,one-piece
236,9,2,0,7,0,77.8,kalifa,one-piece
237,9,2,0,7,0,77.8,sakayanagi,cote
238,9,2,0,6,1,77.8,hange,aot
239,9,2,0,5,2,77.8,kallen,code-geass
240,9,2,0,4,3,77.8,harime-nui,kill-la-kill
241,9,1,0,8,0,88.9,hina-tachibana,domestic-girlfriend
242,9,1,0,8,0,88.9,kirisu,bokuben
243,9,1,0,3,5,88.9,tsuyu,mha
244,9,0,0,9,0,100.0,mirellia-q-melromarc,shield-hero
245,9,0,0,9,0,100.0,rosa,pokemon
246,9,0,0,9,0,100.0,zoey,kpop-demon-hunters
247,9,0,0,9,0,100.0,aura,frieren
248,9,0,0,9,0,100.0,rossweisse,dxd
249,9,0,1,8,0,88.9,ikumi,shokugeki-no-souma
250,9,0,1,8,0,88.9,ichinose,cote
251,9,0,0,8,1,100.0,cana,fairy-tail
252,9,0,0,7,2,100.0,kaminashi,keijo
253,8,5,0,3,0,37.5,roxy,mushoku
254,8,5,0,3,0,37.5,priestess,goblin-slayer
255,8,5,3,0,0,0.0,bakugo,mha
256,8,5,3,0,0,0.0,light,death-note
257,8,5,3,0,0,0.0,aang,avatar
258,8,4,0,4,0,50.0,yumeko,kakegurui
259,8,4,0,4,0,50.0,liliruca,danmachi
260,8,4,0,4,0,50.0,chelsea,akame-ga-kill
261,8,4,3,1,0,12.5,tsumugi,nisekoi
262,8,4,3,0,1,12.5,anya,spy-x-family
263,8,3,5,0,0,0.0,spike,bebop
264,8,2,0,6,0,75.0,tio,arifureta
265,8,2,4,2,0,25.0,yotsuba,quintessential
266,8,2,6,0,0,0.0,kousei,your-lie-in-april
267,8,2,6,0,0,0.0,alphonse,fma
268,8,0,0,8,0,100.0,mitsuki-bakugo,mha
269,8,0,0,8,0,100.0,hagakure,mha
270,8,0,0,8,0,100.0,gwen-stacy,marvel
271,8,0,0,8,0,100.0,ruri,dr-stone
272,8,0,0,8,0,100.0,lillian-weinberg,dr-stone
273,8,0,0,8,0,100.0,mereoleona,black-clover
274,8,0,0,8,0,100.0,charlotte,black-clover
275,8,0,1,7,0,87.5,yamai,komi-san
276,8,0,0,7,1,100.0,bea,pokemon
277,8,0,0,7,1,100.0,atom-eve,invincible
278,7,6,0,0,1,14.3,ai-hayasaka,kaguya-sama
279,7,5,2,0,0,0.0,shiba,the-irregular-at-magic-high-school
280,7,5,2,0,0,0.0,kamina,gurren-lagann
281,7,4,3,0,0,0.0,stark,frieren
282,7,4,3,0,0,0.0,l,death-note
283,7,4,2,0,1,14.3,rumia,akashic-record-of-bastard-magical
284,7,3,0,4,0,57.1,elf,goblin-slayer
285,7,3,0,4,0,57.1,kushida,cote
286,7,3,0,2,2,57.1,widowmaker,overwatch
287,7,3,4,0,0,0.0,sora,no-game-no-life
288,7,2,1,4,0,57.1,karane,100-kanojos
289,7,2,5,0,0,0.0,kazuma,konosuba
290,7,2,5,0,0,0.0,shirogane,kaguya-sama
291,7,1,0,6,0,85.7,hilda,pokemon
292,7,1,0,6,0,85.7,wonder-woman,dc
293,7,1,0,6,0,85.7,ogata,bokuben
294,7,1,1,5,0,71.4,chris,konosuba
295,7,1,0,4,2,85.7,mira,kpop-demon-hunters
296,7,1,1,2,3,71.4,historia,aot
297,7,0,0,7,0,100.0,shildina,shield-hero
298,7,0,0,7,0,100.0,maki-gamo,nagatoro
299,7,0,0,7,0,100.0,misha-necron,misfit-demon-king
300,7,0,0,7,0,100.0,mina-ashiro,kaiju
301,7,0,0,7,0,100.0,maki-oze,fire-force
302,7,0,0,7,0,100.0,hibana,fire-force
303,7,0,0,7,0,100.0,juju,dress-up-darling
304,7,0,0,7,0,100.0,astrid,dragon-trainer
305,7,0,0,7,0,100.0,vladildena,86
306,7,0,1,6,0,85.7,ty-lee,avatar
307,7,0,0,6,1,100.0,laufen,frieren
308,7,0,0,6,1,100.0,nowa,dress-up-darling
309,7,0,0,5,2,100.0,sonia,pokemon
310,7,0,0,3,4,100.0,lillie,pokemon
311,6,6,0,0,0,0.0,zoro,one-piece
312,6,5,1,0,0,0.0,rindo,shokugeki-no-souma
313,6,5,1,0,0,0.0,goblin-slayer,goblin-slayer
314,6,4,2,0,0,0.0,genos,one-punch
315,6,4,2,0,0,0.0,simon,gurren-lagann
316,6,4,2,0,0,0.0,decim,death-parade
317,6,4,2,0,0,0.0,miu,blend-s
318,6,3,0,3,0,50.0,ayame,shimonetta
319,6,3,3,0,0,0.0,yukine,noragami
320,6,2,0,4,0,66.7,nishinomia,shimonetta
321,6,2,1,3,0,50.0,sylphie,mushoku
322,6,1,0,5,0,83.3,rui-tachibana,domestic-girlfriend
323,6,1,0,5,0,83.3,kurome,akame-ga-kill
324,6,1,1,4,0,66.7,bishamon,noragami
325,6,0,0,6,0,100.0,miyu,you-and-i-are-polar-opposite
326,6,0,0,6,0,100.0,ahsoka,star-wars
327,6,0,0,6,0,100.0,malty,shield-hero
328,6,0,0,6,0,100.0,do-s,one-punch
329,6,0,0,6,0,100.0,zenith,mushoku
330,6,0,0,6,0,100.0,sue-storm,marvel
331,6,0,0,6,0,100.0,ai-haysaka,kaguya-sama
332,6,0,0,6,0,100.0,blackfire,dc
333,6,0,0,6,0,100.0,freya,danmachi
334,6,0,0,6,0,100.0,maya-satou,cote
335,6,0,0,6,0,100.0,fubuki-azuma,chained-soldier
336,6,0,0,6,0,100.0,irina-jelavic,assassination-classroom
337,6,0,0,6,0,100.0,nonoa,alya
338,6,0,0,5,1,100.0,serie,frieren
339,6,0,0,5,1,100.0,kobeni,chainsaw-man
340,6,0,0,5,1,100.0,himeno,chainsaw-man
341,6,0,0,4,2,100.0,diantha,pokemon
342,6,0,0,4,2,100.0,shirley,code-geass
343,6,0,0,3,3,100.0,daisy,nintendo
344,5,5,0,0,0,0.0,elania,wandering-witch
345,5,5,0,0,0,0.0,emi-yusa,devil-part-timer
346,5,5,0,0,0,0.0,lelouch,code-geass
347,5,4,1,0,0,0.0,lust,fma
348,5,4,1,0,0,0.0,ayanokouji,cote
349,5,3,0,2,0,40.0,shalletear,overlord
350,5,3,2,0,0,0.0,naofumi,shield-hero
351,5,3,2,0,0,0.0,joker,persona-5
352,5,3,2,0,0,0.0,mustang,fma
353,5,2,0,3,0,60.0,iroha,oregairu
354,5,2,0,3,0,60.0,kita,bocchi
355,5,2,0,3,0,60.0,mine,akame-ga-kill
356,5,2,3,0,0,0.0,taiga,toradora
357,5,2,3,0,0,0.0,shinji,evangelion
358,5,2,3,0,0,0.0,yuno,black-clover
359,5,1,0,4,0,80.0,astraea,sora-no-otoshimono
360,5,1,0,4,0,80.0,yaemori,rent-a-girlfriend
361,5,1,0,4,0,80.0,sumi,rent-a-girlfriend
362,5,1,0,4,0,80.0,skyla,pokemon
363,5,1,1,3,0,60.0,ami-kawashima,toradora
364,5,1,0,2,2,80.0,akane,gridman
365,5,1,0,2,2,80.0,soi,bleach
366,5,0,0,5,0,100.0,akemi,tomo-chan
367,5,0,0,5,0,100.0,camilla,spy-x-family
368,5,0,0,5,0,100.0,daphne,scooby-doo
369,5,0,0,5,0,100.0,ashe,overwatch
370,5,0,0,5,0,100.0,captain-mizuki,one-punch
371,5,0,0,5,0,100.0,lilith,one-piece
372,5,0,0,5,0,100.0,shizune,naruto
373,5,0,0,5,0,100.0,sarada,naruto
374,5,0,0,5,0,100.0,kusakai-mio,keijo
375,5,0,0,5,0,100.0,flamme,frieren
376,5,0,0,5,0,100.0,yuzuriha,dr-stone
377,5,0,0,5,0,100.0,shinju,dress-up-darling
378,5,0,0,5,0,100.0,vados,dragon-ball
379,5,0,0,5,0,100.0,mimimi,100-kanojos
380,5,0,1,4,0,80.0,lihua,kusuria-no-hitorigoto
381,5,0,1,4,0,80.0,guild-girl,goblin-slayer
382,5,0,1,4,0,80.0,ayano,alya
383,5,0,0,2,3,100.0,sayaka,keijo
384,5,0,1,1,3,80.0,eris,konosuba
385,5,0,5,0,0,0.0,jinshi,kusuria-no-hitorigoto
386,4,4,0,0,0,0.0,eva01,evangelion
387,4,4,0,0,0,0.0,guts,berserk
388,4,4,0,0,0,0.0,glenn,akashic-record-of-bastard-magical
389,4,3,1,0,0,0.0,link,zelda
390,4,3,1,0,0,0.0,senku,dr-stone
391,4,3,1,0,0,0.0,nona,death-parade
392,4,3,0,0,1,25.0,jibril,no-game-no-life
393,4,2,0,2,0,50.0,bonny,one-piece
394,4,2,0,2,0,50.0,stephanie,no-game-no-life
395,4,2,0,2,0,50.0,ryo,bocchi
396,4,2,1,1,0,25.0,harui,harui-suzumiya
397,4,2,2,0,0,0.0,ruri-miyamoto,nisekoi
398,4,2,2,0,0,0.0,haru-onodera,nisekoi
399,4,2,2,0,0,0.0,tuka,gate
400,4,2,2,0,0,0.0,ryuk,death-note
401,4,1,0,3,0,75.0,syr,danmachi
402,4,1,0,3,0,75.0,tomoe-koga,bunny-girl-senpai
403,4,1,1,2,0,50.0,hakari,100-kanojos
404,4,0,0,4,0,100.0,natsuko,zenshu
405,4,0,0,4,0,100.0,misuzu,tomo-chan
406,4,0,0,4,0,100.0,misaki-gundo,tomo-chan
407,4,0,0,4,0,100.0,ferris,tomo-chan
408,4,0,0,4,0,100.0,carol,tomo-chan
409,4,0,0,4,0,100.0,angelika-kudou-shields,the-irregular-at-magic-high-school
410,4,0,0,4,0,100.0,testarossa,tensura
411,4,0,0,4,0,100.0,ellie,takamine
412,4,0,0,4,0,100.0,eve,stellar-blade
413,4,0,0,4,0,100.0,handler,spy-x-family
414,4,0,0,4,0,100.0,monica,silent-witch
415,4,0,0,4,0,100.0,lana-colette,silent-witch
416,4,0,0,4,0,100.0,eclair,shield-hero
417,4,0,0,4,0,100.0,akira,sakamoto-days
418,4,0,0,4,0,100.0,whitney,pokemon
419,4,0,0,4,0,100.0,nemona,pokemon
420,4,0,0,4,0,100.0,hibiki,onegai-muscle
421,4,0,0,4,0,100.0,yoshi,nagatoro
422,4,0,0,4,0,100.0,nagatoros-sakura,nagatoro
423,4,0,0,4,0,100.0,lilia,mushoku
424,4,0,0,4,0,100.0,hilda-boreas-greyrat,mushoku
425,4,0,0,4,0,100.0,ghislaine,mushoku
426,4,0,0,4,0,100.0,sasha-necron,misfit-demon-king
427,4,0,0,4,0,100.0,tsubomi-haruno,medaka-kuroiwa-is-impervious-to-my-charms
428,4,0,0,4,0,100.0,suirei,kusuria-no-hitorigoto
429,4,0,0,4,0,100.0,sena,konosuba
430,4,0,0,4,0,100.0,yadano,komi-san
431,4,0,0,4,0,100.0,nonon,kill-la-kill
432,4,0,0,4,0,100.0,zoe-thompson,invincible
433,4,0,0,4,0,100.0,monster-girl,invincible
434,4,0,0,4,0,100.0,kyouko-rintaro,fragrant-flower
435,4,0,0,4,0,100.0,ritsuko,evangelion
436,4,0,0,4,0,100.0,minami,dr-stone
437,4,0,0,4,0,100.0,luna,dr-stone
438,4,0,0,4,0,100.0,hawkgirl,dc
439,4,0,0,4,0,100.0,ichika-amasawa,cote
440,4,0,0,4,0,100.0,ibuki,cote
441,4,0,0,4,0,100.0,hasebe,cote
442,4,0,0,4,0,100.0,kamiunten,chained-soldier
443,4,0,0,4,0,100.0,pieck,aot
444,4,0,0,3,1,100.0,lara,tomb-raider
445,4,0,0,3,1,100.0,falin,dungeon-meshi
446,4,0,1,2,1,75.0,shiragiku,megami-no-cafe-terrace
447,4,0,1,2,1,75.0,riho,megami-no-cafe-terrace
448,4,0,1,2,1,75.0,ouka,megami-no-cafe-terrace
449,4,0,0,2,2,100.0,supergirl,dc
450,4,0,0,2,2,100.0,villetta,code-geass
451,4,0,0,1,3,100.0,aoba,keijo
452,3,3,0,0,0,0.0,typhlosion,pokemon
453,3,3,0,0,0,0.0,gyarados,pokemon
454,3,3,0,0,0,0.0,garchomp,pokemon
455,3,3,0,0,0,0.0,ainz,overlord
456,3,3,0,0,0,0.0,boros,one-punch
457,3,3,0,0,0,0.0,aizawa,mha
458,3,3,0,0,0,0.0,spider-man,marvel
459,3,3,0,0,0,0.0,malenia,from
460,3,3,0,0,0,0.0,eva02,evangelion
461,3,3,0,0,0,0.0,nishimori,charlotte
462,3,3,0,0,0,0.0,rin-onigawara,busou-shoujo-machiavellianism
463,3,3,0,0,0,0.0,kaede,bunny-girl-senpai
464,3,3,0,0,0,0.0,berserker,berserk
465,3,3,0,0,0,0.0,sasha,aot
466,3,3,0,0,0,0.0,vladilena,86
467,3,3,0,0,0,0.0,hahari,100-kanojos
468,3,2,1,0,0,0.0,tsukasa,tonikawa
469,3,2,1,0,0,0.0,mewtwo,pokemon
470,3,2,1,0,0,0.0,latios,pokemon
471,3,2,1,0,0,0.0,arsene,persona-5
472,3,2,1,0,0,0.0,airi,cote
473,3,1,0,2,0,66.7,nymph,sora-no-otoshimono
474,3,1,0,2,0,66.7,melty,shield-hero
475,3,1,0,2,0,66.7,nijika,bocchi
476,3,1,0,1,1,66.7,tashigi,one-piece
477,3,1,2,0,0,0.0,hayama,shokugeki-no-souma
478,3,1,2,0,0,0.0,lelei,gate
479,3,1,2,0,0,0.0,himmel,frieren
480,3,1,1,0,1,33.3,mankanshoku,kill-la-kill
481,3,0,0,3,0,100.0,beatrix,zom100
482,3,0,0,3,0,100.0,samantha,totally-spies
483,3,0,0,3,0,100.0,alexandra,totally-spies
484,3,0,0,3,0,100.0,stellar-blade-raven,stellar-blade
485,3,0,0,3,0,100.0,ariane,skeleton-knight
486,3,0,0,3,0,100.0,sadina,shield-hero
487,3,0,0,3,0,100.0,quinella,sao
488,3,0,0,3,0,100.0,hana-sunomiya,nagatoro
489,3,0,0,3,0,100.0,nanahosi,mushoku
490,3,0,0,3,0,100.0,asahi,medaka-kuroiwa-is-impervious-to-my-charms
491,3,0,0,3,0,100.0,karen,makeine
492,3,0,0,3,0,100.0,kanan,kusuria-no-hitorigoto
493,3,0,0,3,0,100.0,sawada,horimiya
494,3,0,0,3,0,100.0,kyouka,chained-soldier
495,3,0,0,3,0,100.0,uruka,bokuben
496,3,0,0,3,0,100.0,shirasaki,arifureta
497,3,0,0,3,0,100.0,shea,arifureta
498,3,0,0,3,0,100.0,kusuri,100-kanojos
499,3,0,0,2,1,100.0,misaki,railgun
500,3,0,0,2,1,100.0,shego,kim-possible
501,3,0,0,1,2,100.0,tomoe,tsukimichi
502,3,0,0,1,2,100.0,toyoguchi,keijo
503,3,0,0,1,2,100.0,caulifa,dragon-ball
504,3,0,0,1,2,100.0,seiko-ayase,dandadan
505,3,0,3,0,0,0.0,ryuji,toradora
506,3,0,3,0,0,0.0,jet,bebop
507,3,0,3,0,0,0.0,ed,bebop
508,2,2,0,0,0,0.0,tsubaki,your-lie-in-april
509,2,2,0,0,0,0.0,vash,trigun
510,2,2,0,0,0,0.0,benimaru,tensura
511,2,2,0,0,0,0.0,forgers,spy-x-family
512,2,2,0,0,0,0.0,arato,shokugeki-no-souma
513,2,2,0,0,0,0.0,rayquaza,pokemon
514,2,2,0,0,0,0.0,kyogre,pokemon
515,2,2,0,0,0,0.0,groudon,pokemon
516,2,2,0,0,0,0.0,darkrai,pokemon
517,2,2,0,0,0,0.0,blaziken,pokemon
518,2,2,0,0,0,0.0,sebas,overlord
519,2,2,0,0,0,0.0,demiurgos,overlord
520,2,2,0,0,0,0.0,cocytus,overlord
521,2,2,0,0,0,0.0,sonic,one-punch
522,2,2,0,0,0,0.0,mugiwara,one-piece
523,2,2,0,0,0,0.0,chopper,one-piece
524,2,2,0,0,0,0.0,izuna,no-game-no-life
525,2,2,0,0,0,0.0,chlammy,no-game-no-life
